"MACRORREGIÃO ","UNIDADES EXECUTANTES","COMPLEXIDADE","TIPO DE ATENDIMENTO","TIPO DE LEITO","ESPECIALIDADES","FLUXO REGULATÓRIO","PARTICULARIDADES DA SOLICITAÇÃO POR UNIDADE EXECUTANTE","COBERTURA SAD - MUNICÍPIO REFERÊNCIA X UN. EXECUTANTE","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","BATUÍRA - GOIÂNIA","MÉDIA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA ADULTO","PSIQUIATRIA","REGULAÇÃO PARA O LEITO","BATUÍRA - CÓDIGO DE PROCEDIMENTO DE INTERNAÇÃO OBRIGATÓRIO: 0303170190 
HORÁRIO DE ADMISSÃO: SEGUNDA A SEXTA-FEIRA DAS 07H ÀS 21H E SÁBADO, DOMINGO E FERIADO DAS 07H ÀS 19H
 
PERFIL: > 18 ANOS, TRANSTORNO MENTAL EM GERAL E ETILISMO COM CID PRIMÁRIO DE TRANSTORNO MENTAL. NÃO TEM ESTRUTURA PARA ACOMPANHANTE TERAPÊUTICO;

NÃO É PERFIL:
MENOR DE IDADE; 
PENDÊNCIAS CLÍNICAS 
MAIOR DE 60 ANOS, COM AUTOCUIDADO PREJUDICADO E COM NECESSIDADE DE ACOMPANHANTE TERAPÊUTICO; 
DEPENDENTE QUÍMICO, EXCETO ALCOOLISMO; 
JUDICIALIZADO/COMPULSÓRIO, PAILI, PRIVADOS DE LIBERDADE; 
PACIENTES EM SITUAÇÃO DE RUA SEM VÍNCULOS.","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","CASA DE EURIPEDES - GOIÂNIA","MÉDIA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA ADULTO","PSIQUIATRIA","REGULAÇÃO PARA O LEITO","CASA DE EURIPEDES - CÓDIGO DE PROCEDIMENTO DE INTERNAÇÃO OBRIGATÓRIO: 0303170190
HORÁRIO DE ADMISSÃO: 24h 

PERFIL: > 13 ANOS, TRANSTORNO MENTAL EM GERAL E DEPEDENCIA QUIMICA, ACEITA PRIVADO DE LIBERDADE, PAILI, ""COMPULSÓRIO/JUDICIALIZADO E INFANTO POSSUI LEITO ESPECÍFICO"";
OBRIGATÓRIO ACOMPANHANTE TERAPEUTICO PARA: INFANTO, > 60 ANOS E PLANEJAMENTO SUICIDA;

NÃO É PERFIL:
MAIOR DE 70 ANOS E MENOR DE 13 ANOS 
PENDÊNCIAS CLÍNICAS 
AUTOCUIDADO PREJUDICADO COM AUSÊNCIA DE ACOMPANHANTE TERAPÊUTICO; 
SONDADOS, COLOSTOMIZADOS, DEFICIÊNCIA VISUAL GRAVE, CADEIRANTE, COM DIFICIL MANEJO NA ENFERMARIA. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","CASA DE EURIPEDES - GOIÂNIA","MÉDIA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENF INFANTO-JUVENIL (PSIQUIATRIA) ","PSIQUIATRIA","REGULAÇÃO PARA O LEITO","CASA DE EURIPEDES - CÓDIGO DE PROCEDIMENTO DE INTERNAÇÃO OBRIGATÓRIO: 0303170190
HORÁRIO DE ADMISSÃO: 24h 

PERFIL: > 13 ANOS, TRANSTORNO MENTAL EM GERAL E DEPEDENCIA QUIMICA, ACEITA COMPULSÓRIO/JUDICIALIZADO;
POSSUI LEITO ESPECÍFICO;
OBRIGATÓRIO ACOMPANHANTE TERAPEUTICO DURANTE TODA INTERNAÇÃO PARA ESSA FAIXA ETÁRIA. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","CEAPSOL - GOIÂNIA","MÉDIA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA ADULTO","CLÍNICA MÉDICA","REGULAÇÃO PARA O LEITO","CEAPSOL - DOENÇAS PNEUMOLÓGICAS, ARBOVIROSES","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","CEAPSOL - GOIÂNIA","MÉDIA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA ADULTO","DERMATOLOGIA","REGULAÇÃO PARA O LEITO","CEAPSOL - PACIENTES COM DOENÇAS DERMATOLÓGICAS","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","CEAPSOL - GOIÂNIA","MÉDIA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA ADULTO","CUIDADOS PROLONGADOS","REGULAÇÃO PARA O LEITO","CEAPSOL - SEQUELAS NEUROLÓGICAS, PACIENTES EM CONDIÇÕES SOCIAIS DE DESOSPITALIZAÇÃO. USUÁRIO EM SITUAÇÃO VULNERÁVEL","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","CEAPSOL - GOIÂNIA","MÉDIA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA ADULTO","INFECTOLOGIA ","REGULAÇÃO PARA O LEITO","CEAPSOL - COM DIAGNÓSTICO CONFIRMADO OU CLÍNICA SUGESTIVA","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","CEAPSOL - GOIÂNIA","MÉDIA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA ADULTO","CLÍNICA MÉDICA","INTERNAÇÃO PRÓPRIA (COTA DIRETA)","CEAPSOL - EGRESSO DO AMBULATÓRIO ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","CEROF - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","PRONTO SOCORRO","OFTALMOLOGIA PEDIÁTRICA","ENCAMINHAMENTO DE URGÊNCIA ","CEROF: URGÊNCIAS OFTALMOLÓGICA ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","CEROF - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","PRONTO SOCORRO","OFTALMOLOGIA ADULTO","ENCAMINHAMENTO DE URGÊNCIA ","CEROF: URGÊNCIAS OFTALMOLÓGICA ","","","","","","","","","","","","","","","","","","","","",""
