"Município Solicitante","Município Executante","Distancia"
"Abadia de Goiás","Trindade","17,9"
"Abadia de Goiás","Trindade","17,9"
"Abadia de Goiás","Goiânia","26,9"
"Abadia de Goiás","Goiânia","26,9"
"Abadia de Goiás","Goiânia","26,9"
"Abadia de Goiás","Goiânia","26,9"
"Abadia de Goiás","Goiânia","26,9"
"Abadia de Goiás","Goiânia","26,9"
"Abadia de Goiás","Goiânia","26,9"
"Abadia de Goiás","Goiânia","26,9"
"Abadia de Goiás","Goiânia","26,9"
"Abadia de Goiás","Goiânia","26,9"
"Abadia de Goiás","Goiânia","26,9"
"Abadia de Goiás","Goiânia","26,9"
"Abadia de Goiás","Goiânia","26,9"
"Abadia de Goiás","Goiânia","26,9"
"Abadia de Goiás","Goiânia","26,9"
"Abadia de Goiás","Aparecida de Goiânia","28,8"
"Abadia de Goiás","Anápolis","89,7"
"Abadia de Goiás","São Luís de Montes Belos","126,2"
"Abadia de Goiás","Jaraguá","138,1"
"Abadia de Goiás","Pirenópolis","139,2"
"Abadia de Goiás","Goiás","145,3"
"Abadia de Goiás","Ceres","199,6"
"Abadia de Goiás","Ceres","199,6"
"Abadia de Goiás","Águas Lindas de Goiás","204,3"
"Abadia de Goiás","Luziânia","207,4"
"Abadia de Goiás","Santa Helena de Goiás","208,9"
"Abadia de Goiás","Itumbiara","227,8"
"Abadia de Goiás","Itumbiara","227,8"
"Abadia de Goiás","Catalão","267,6"
"Abadia de Goiás","Catalão","267,6"
"Abadia de Goiás","Catalão","267,6"
"Abadia de Goiás","Catalão","267,6"
"Abadia de Goiás","Uruaçu","300,5"
"Abadia de Goiás","Formosa","314,9"
"Abadia de Goiás","Jataí","326,6"
"Abadia de Goiás","Jataí","326,6"
"Abadia de Goiás","Rio Verde ","209"
"Abadiânia","Anápolis","39,9"
"Abadiânia","Anápolis","39,9"
"Abadiânia","Anápolis","39,9"
"Abadiânia","Pirenópolis","62"
"Abadiânia","Águas Lindas de Goiás","84,2"
"Abadiânia","Goiânia","102,5"
"Abadiânia","Goiânia","102,5"
"Abadiânia","Goiânia","102,5"
