"UNIDADES EXECUTANTES","TIPO DE LEITO","ESPECIALIDADES","FLUXO REGULATÓRIO","PARTICULARIDADES DA SOLICITAÇÃO POR UNIDADE EXECUTANTE","COBERTURA SAD - MUNICÍPIO REFERÊNCIA X UN. EXECUTANTE","","","","","","","","","","","","","","","","","","","",""
"HMAP - AP. DE GOIÂNIA  / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","CIRURGIA VASCULAR/ENDO/ANGIO","INTERMEDIAÇÃO","HMAP (INTERMEDIAÇÃO SISREG): REVASCULARIZAÇÃO JÁ AVALIADO PELO VASCULAR. COLOCAR EM LEITO DE CIRURGIA GERAL, PROCEDIMENTOS: 0406020434, 0406020434, 0406020442, 0406040028.            ","","","","","","","","","","","","","","","","","","","","",""
"HMAP - AP. DE GOIÂNIA  / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","HMAP (INTERMEDIAÇÃO SISREG): HEMODINÂMICA (IAM C/ SUPRA ST), ANGIOPLASTIA (REVASCULARIZAÇÃO) DE CORONÁRIA, AORTA, CAVA, EXTREMIDADES. NÃO SOLICITAR FORA DESTE PERFIL.","","","","","","","","","","","","","","","","","","","","",""
"HOSPITA CORAÇÃO DE JESUS GOIÂNIA  / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","ORTOPEDIA E TRAUMATOLOGIA","INTERMEDIAÇÃO","BAIXA COMPLEXIDADE","","","","","","","","","","","","","","","","","","","","",""
"HOSPITA CORAÇÃO DE JESUS GOIÂNIA  / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","CIRURGIA GERAL","INTERMEDIAÇÃO","BAIXA COMPLEXIDADE","","","","","","","","","","","","","","","","","","","","",""
"HOSPITAL DAS CLÍNICAS GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"HOSPITAL DAS CLÍNICAS GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"HOSPITAL DAS CLÍNICAS GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","CIRURGIA GERAL","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"HOSPITAL DAS CLÍNICAS GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","CIRURGIA TORÁCICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"HOSPITAL DAS CLÍNICAS GOIÂNIA / INTERMEDIAÇÃO ","UTI ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"HOSPITAL DAS CLÍNICAS GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
